('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         893987 function calls (872670 primitive calls) in 3.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.000    0.000    0.092    0.000 __init__.py:226(compile)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      544    0.000    0.000    0.000    0.000 element.py:1543(get)
      626    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.001    0.001 _tokenizer.py:1(<module>)
      342    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      203    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      308    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      429    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      339    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      346    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      133    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
    88/27    0.000    0.000    0.131    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      406    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      240    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       69    0.000    0.000    0.001    0.000 css_parser.py:529(parse_tag_pattern)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 sessions.py:1(<module>)
       42    0.000    0.000    0.175    0.004 response.py:1010(_handle_chunk)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
    46/14    0.000    0.000    0.151    0.011 {built-in method builtins.__import__}
      622    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       70    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.051    0.051 client.py:213(_read_headers)
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.023    0.023 dammit.py:67(EntitySubstitution)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      340    0.000    0.000    0.000    0.000 socket.py:732(readable)
      203    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      689    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
      627    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       18    0.000    0.000    0.001    0.000 typing.py:687(Union)
       63    0.000    0.000    0.175    0.003 client.py:633(_safe_read)
        1    0.000    0.000    0.001    0.001 xmlreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      162    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 netrc.py:22(_netrclex)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      260    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    42/30    0.000    0.000    0.008    0.000 css_parser.py:566(parse_pseudo_class)
       25    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      183    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      313    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      121    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      170    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.053    0.053 css_parser.py:1(<module>)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
       42    0.000    0.000    0.008    0.000 response.py:429(_decode)
      311    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       53    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      341    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        8    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
      680    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       42    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        2    0.000    0.000    0.015    0.007 utils.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       76    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       18    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       43    0.000    0.000    0.000    0.000 response.py:996(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
      177    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.002    0.002 ssl_.py:218(create_urllib3_context)
        2    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:726(parse_pseudo_open)
        6    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
      154    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      358    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       35    0.000    0.000    0.020    0.001 element.py:2013(find_all)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      400    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      237    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      203    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
  215/213    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       55    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.029    0.029 _inputstream.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x74efbe541080}
       49    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
      205    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       58    0.000    0.000    0.000    0.000 parser.py:124(set_cdata_mode)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.062    0.062 connection.py:708(_ssl_wrap_socket_and_match_hostname)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
