('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         854145 function calls (833851 primitive calls) in 1.894 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       30    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       29    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       29    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       28    0.000    0.000    0.000    0.000 _collections.py:300(add)
       28    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
